Market_ID,Product,Market_Price_per_ton,Demand_Index,Supply_Index,Competitor_Price_per_ton,Economic_Indicator,Weather_Impact_Score,Seasonal_Factor,Consumer_Trend_Index
1,Rice,180.25121194379304,196.0859002452244,199.50912420379743,300.549219264296,1.0936360337259488,28.47481031076285,Medium,148.47213120880434
2,Rice,420.527969559553,188.45240008580845,150.789482977595,492.097797644394,0.5263068815761089,70.97806264396277,High,97.298888055855
3,Wheat,457.2603975211701,171.17938395811063,78.98932630036724,323.00334230465387,1.29239334879865,80.8535915904238,Low,131.11323556467687
4,Soybean,237.179112551829,196.9706768450852,50.4643632616135,232.97838439741784,0.6276625652836847,60.67606900603602,Low,95.16941688755811
5,Wheat,324.0329248847364,113.1654156060176,145.87864681183396,312.4286524084579,1.4912549939856778,45.37951565090168,Low,130.29713833906067
6,Corn,389.6482051471298,123.08872887995156,190.9064750855804,181.9354392180609,0.8761502603945046,81.36985531316705,Low,77.2462149238768
7,Rice,155.895188144545,70.19881112051145,96.26801740608892,265.91717982680296,1.2288140302963222,88.33181027078815,High,107.44703972517948
8,Rice,321.72672767442924,138.08056196371842,52.25519030051087,187.6757450370232,1.477784895562792,14.62418964703357,Low,103.23949343906654
9,Soybean,447.4117730632625,188.3175449085296,171.82949278671953,210.50295551774195,0.7078028072550187,29.150676979735856,Low,141.3236949772548
10,Corn,218.1278684265388,58.50185556856946,92.43983301044584,428.6728759362409,0.7914939154695304,78.8949674803272,High,80.2211556664995
11,Corn,101.52623915610276,181.36464986910704,166.2452303664653,230.7667057918162,1.0061762954503388,16.036417519373224,Low,122.9633370115736
12,Soybean,315.85092987373474,69.4157953220386,69.54926183390535,246.52370996895948,0.6754880597085773,44.73947945491972,High,102.82860403852186
13,Soybean,101.04046583056096,92.38147818458955,183.4058090165427,315.60800797965624,0.9398785226345456,55.763232282130446,High,123.69605580683312
14,Soybean,481.94841517479534,164.5570086363353,117.89743276774205,315.894413578798,0.996883786192946,81.29448800288094,Medium,103.26755893389183
15,Soybean,324.5391102603418,157.49825355053477,116.26366768649656,132.3907034035726,0.8134407122486008,44.116718036294245,High,122.43708870746678
16,Corn,400.6447487209915,192.60030048359053,68.85381701077962,268.40720091667856,0.8406059954568866,98.0521766129821,Medium,127.10724508800004
17,Corn,173.45643527061495,155.78170148671342,178.78195544912433,413.24060391967765,1.3188207892136972,96.2136273919483,High,136.54608155847745
18,Wheat,278.4398527914186,77.77189944311156,149.18930606829937,198.9325024058697,1.2175410667553193,90.51139623300168,High,117.97323952944392
19,Rice,323.3255468115835,176.68855007077616,106.14257680280646,289.98134360703386,0.5978507465563598,66.60179446870713,Low,67.47356846332355
20,Soybean,468.0853463709777,64.18598493416194,108.30769511092905,375.33084499206666,0.9957607808823132,67.39407678002567,Low,124.14265952531116
